Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Year,Total.On.Board,Fatal.Injury.Likelihood,Serious.Injury.Likelihood,Severe.Injury.Risk,Aircraft.Destroyed,Aircraft.ID
20001211X14009,Accident,LAX92LA089,1992-01-12,"SHOW LOW, AZ",United States,,,,,Non-Fatal,substantial,N1571E,cessna,172n,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,imc,cruise,Probable Cause,13-08-1993,1992,3.0,0.0,0.0,0.0,0,cessna_172n
20001211X13946,Accident,BFO92LA018,1992-01-12,"RICHMOND, RI",United States,,,RI04,RICHMOND,Non-Fatal,substantial,N9483T,piper,pa-38-112,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,24-03-1993,1992,1.0,0.0,0.0,0.0,0,piper_pa-38-112
20001211X13937,Accident,ATL92LA038,1992-01-12,"KNOXVILLE, TN",United States,,,,,Non-Fatal,substantial,N185Y,beech,j-35,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,13-08-1993,1992,1.0,0.0,0.0,0.0,0,beech_j-35
20001211X13936,Accident,ATL92LA037,1992-01-12,"GRIFFIN, GA",United States,,,NONE,PRIVATE,Non-Fatal,substantial,N6101D,piper,pa-22-150,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,26-08-1993,1992,1.0,0.0,0.0,0.0,0,piper_pa-22-150
20001211X13931,Accident,ATL92FA039,1992-01-13,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Fatal(5),destroyed,N40JK,cessna,421c,No,2.0,reciprocating,personal,5.0,0.0,0.0,0.0,imc,cruise,Probable Cause,08-10-1993,1992,5.0,1.0,0.0,1.0,1,cessna_421c
20001211X14034,Accident,MIA92LA061,1992-01-13,ATLANTIC OCEAN,ATLANTIC OCEAN,,,,,Fatal(1),substantial,N121L,cessna,172g,No,1.0,reciprocating,public aircraft,1.0,0.0,1.0,0.0,vmc,cruise,Probable Cause,13-08-1993,1992,2.0,0.5,0.0,0.5,0,cessna_172g
20001211X14025,Accident,MIA92FA062,1992-01-13,"HOMESTEAD, FL",United States,,,,,Fatal(2),destroyed,N2606Y,piper,pa-28-161,No,1.0,reciprocating,personal,2.0,0.0,0.0,0.0,vmc,cruise,Probable Cause,13-08-1993,1992,2.0,1.0,0.0,1.0,1,piper_pa-28-161
20001211X13999,Accident,LAX92FA092,1992-01-13,"TEMPLE BAR, AZ",United States,,,U30,TEMPLE BAR,Fatal(2),destroyed,N22592,cessna,t210l,No,1.0,reciprocating,unknown,2.0,3.0,0.0,0.0,vmc,cruise,Probable Cause,11-01-1994,1992,5.0,0.4,0.6,1.0,1,cessna_t210l
20001211X14049,Accident,SEA92LA037,1992-01-13,"TACOMA, WA",United States,,,,,Non-Fatal,substantial,N11632,cessna,150l,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,13-08-1993,1992,1.0,0.0,0.0,0.0,0,cessna_150l
20001211X13961,Accident,CHI92LA071,1992-01-13,"GRAND RAPIDS, MN",United States,,,GPZ,GRAND RAPIDS,Non-Fatal,substantial,N255W,piper,pa-23-150,No,2.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,cruise,Probable Cause,13-08-1993,1992,2.0,0.0,0.0,0.0,0,piper_pa-23-150
20001211X13947,Accident,BFO92LA019,1992-01-13,"BOWLING GREEN, KY",United States,,,BWG,WARREN COUNTY REGIONAL,Non-Fatal,substantial,N9161K,piper,pa-46-350p,No,1.0,reciprocating,business,0.0,0.0,0.0,4.0,imc,takeoff,Probable Cause,28-09-1993,1992,4.0,0.0,0.0,0.0,0,piper_pa-46-350p
20001211X14051,Accident,SEA92LA039,1992-01-14,"HANSVILLE, WA",United States,,,,,Fatal(1),destroyed,N86964,ercoupe (eng & research corp.),415-c,No,1.0,reciprocating,personal,1.0,0.0,0.0,0.0,imc,cruise,Probable Cause,13-08-1993,1992,1.0,1.0,0.0,1.0,1,ercoupe (eng & research corp.)_415-c
